Date,Sun,Mercury,Venus,Mars,Jupiter,Saturn,MeanNode,SouthNode
1/15/2016 0:00,270.2694,269.3009,235.1509,192.2043,149.1788,228.6137,150.8837,330.8837
1/15/2016 12:00,270.7788,268.6405,235.7632,192.4707,149.1673,228.6627,150.8572,330.8572
1/16/2016 0:00,271.2881,267.9864,236.3758,192.7366,149.1551,228.7115,150.8307,330.8307
1/16/2016 12:00,271.7973,267.3434,236.9884,193.0021,149.142,228.7601,150.8042,330.8042
1/17/2016 0:00,272.3065,266.716,237.6012,193.2671,149.1282,228.8084,150.7777,330.7777
1/17/2016 12:00,272.8157,266.1087,238.2141,193.5316,149.1136,228.8565,150.7512,330.7512
1/18/2016 0:00,273.3248,265.5251,238.8272,193.7956,149.0982,228.9044,150.7247,330.7247
1/18/2016 12:00,273.8338,264.9686,239.4403,194.0591,149.082,228.9521,150.6982,330.6982
1/19/2016 0:00,274.3428,264.4423,240.0536,194.3222,149.065,228.9995,150.6717,330.6717
1/19/2016 12:00,274.8517,263.9487,240.6671,194.5848,149.0472,229.0467,150.6452,330.6452
1/20/2016 0:00,275.3606,263.4897,241.2807,194.8469,149.0287,229.0936,150.6187,330.6187
1/20/2016 12:00,275.8694,263.0669,241.8943,195.1086,149.0094,229.1403,150.5922,330.5922
1/21/2016 0:00,276.3782,262.6817,242.5082,195.3697,148.9893,229.1868,150.5658,330.5658
1/21/2016 12:00,276.8869,262.3347,243.1221,195.6303,148.9684,229.233,150.5393,330.5393
1/22/2016 0:00,277.3956,262.0266,243.7362,195.8905,148.9467,229.279,150.5128,330.5128
1/22/2016 12:00,277.9042,261.7573,244.3504,196.1501,148.9243,229.3247,150.4863,330.4863
1/23/2016 0:00,278.4127,261.5269,244.9647,196.4092,148.9011,229.3702,150.4598,330.4598
1/23/2016 12:00,278.9212,261.335,245.5791,196.6678,148.8772,229.4154,150.4333,330.4333
1/24/2016 0:00,279.4296,261.181,246.1936,196.9259,148.8525,229.4603,150.4068,330.4068
1/24/2016 12:00,279.938,261.0642,246.8083,197.1834,148.827,229.505,150.3804,330.3804
1/25/2016 0:00,280.4463,260.9837,247.4231,197.4404,148.8007,229.5494,150.3539,330.3539
1/25/2016 12:00,280.9546,260.9386,248.038,197.6969,148.7737,229.5936,150.3274,330.3274
1/26/2016 0:00,281.4628,260.9278,248.653,197.9528,148.746,229.6374,150.3009,330.3009
1/26/2016 12:00,281.971,260.9502,249.2681,198.2082,148.7175,229.6811,150.2744,330.2744
1/27/2016 0:00,282.4791,261.0047,249.8833,198.463,148.6882,229.7244,150.2479,330.2479
1/27/2016 12:00,282.9872,261.0901,250.4986,198.7173,148.6582,229.7675,150.2213,330.2213
1/28/2016 0:00,283.4952,261.2051,251.114,198.971,148.6275,229.8103,150.1948,330.1948
1/28/2016 12:00,284.0031,261.3486,251.7296,199.2241,148.596,229.8528,150.1683,330.1683
1/29/2016 0:00,284.5111,261.5194,252.3452,199.4766,148.5638,229.895,150.1418,330.1418
1/29/2016 12:00,285.0189,261.7164,252.961,199.7286,148.5309,229.937,150.1153,330.1153
1/30/2016 0:00,285.5268,261.9383,253.5768,199.9799,148.4973,229.9786,150.0888,330.0888
1/30/2016 12:00,286.0346,262.1841,254.1928,200.2307,148.4629,230.02,150.0623,330.0623
1/31/2016 0:00,286.5423,262.4528,254.8088,200.4808,148.4279,230.0611,150.0358,330.0358
1/31/2016 12:00,287.05,262.7433,255.425,200.7304,148.3921,230.1019,150.0093,330.0093
2/1/2016 0:00,287.5576,263.0545,256.0412,200.9793,148.3556,230.1424,149.9828,329.9828
2/1/2016 12:00,288.0652,263.3856,256.6576,201.2276,148.3184,230.1827,149.9563,329.9563
2/2/2016 0:00,288.5727,263.7356,257.274,201.4752,148.2806,230.2226,149.9298,329.9298
2/2/2016 12:00,289.0802,264.1036,257.8905,201.7222,148.242,230.2622,149.9033,329.9033
2/3/2016 0:00,289.5877,264.4889,258.5071,201.9685,148.2028,230.3016,149.8768,329.8768
2/3/2016 12:00,290.095,264.8906,259.1238,202.2142,148.1629,230.3406,149.8503,329.8503
2/4/2016 0:00,290.6023,265.3079,259.7405,202.4592,148.1223,230.3794,149.8238,329.8238
2/4/2016 12:00,291.1096,265.7402,260.3574,202.7036,148.0811,230.4178,149.7974,329.7974
2/5/2016 0:00,291.6168,266.1868,260.9743,202.9472,148.0392,230.4559,149.7709,329.7709
2/5/2016 12:00,292.1239,266.6471,261.5913,203.1901,147.9966,230.4937,149.7444,329.7444
2/6/2016 0:00,292.631,267.1203,262.2083,203.4323,147.9534,230.5312,149.7179,329.7179
2/6/2016 12:00,293.138,267.606,262.8254,203.6738,147.9096,230.5684,149.6914,329.6914
2/7/2016 0:00,293.6449,268.1036,263.4426,203.9146,147.8651,230.6052,149.6649,329.6649
2/7/2016 12:00,294.1518,268.6127,264.0598,204.1547,147.82,230.6418,149.6384,329.6384
2/8/2016 0:00,294.6586,269.1326,264.6771,204.394,147.7743,230.678,149.612,329.612
2/8/2016 12:00,295.1652,269.663,265.2944,204.6325,147.7279,230.7138,149.5855,329.5855
2/9/2016 0:00,295.6718,270.2034,265.9118,204.8703,147.681,230.7494,149.559,329.559
2/9/2016 12:00,296.1783,270.7535,266.5292,205.1073,147.6335,230.7846,149.5325,329.5325
2/10/2016 0:00,296.6847,271.3128,267.1466,205.3435,147.5853,230.8195,149.506,329.506
2/10/2016 12:00,297.191,271.8811,267.7641,205.5789,147.5366,230.854,149.4795,329.4795
2/11/2016 0:00,297.6972,272.4578,268.3816,205.8135,147.4874,230.8882,149.4529,329.4529
2/11/2016 12:00,298.2033,273.0429,268.9992,206.0474,147.4375,230.9221,149.4264,329.4264
2/12/2016 0:00,298.7093,273.6359,269.6168,206.2804,147.3871,230.9556,149.3999,329.3999
2/12/2016 12:00,299.2152,274.2365,270.2344,206.5126,147.3362,230.9888,149.3734,329.3734
2/13/2016 0:00,299.721,274.8446,270.852,206.744,147.2847,231.0216,149.3469,329.3469
2/13/2016 12:00,300.2266,275.4599,271.4697,206.9745,147.2328,231.0541,149.3204,329.3204
2/14/2016 0:00,300.7322,276.0821,272.0874,207.2042,147.1803,231.0863,149.2939,329.2939
2/14/2016 12:00,301.2376,276.7111,272.7052,207.4331,147.1273,231.1181,149.2674,329.2674
2/15/2016 0:00,301.7429,277.3466,273.3229,207.6612,147.0738,231.1495,149.2409,329.2409
2/15/2016 12:00,302.2481,277.9884,273.9407,207.8883,147.0198,231.1807,149.2144,329.2144
2/16/2016 0:00,302.7532,278.6364,274.5586,208.1147,146.9653,231.2114,149.1879,329.1879
2/16/2016 12:00,303.2581,279.2905,275.1764,208.3401,146.9104,231.2418,149.1615,329.1615
2/17/2016 0:00,303.763,279.9504,275.7943,208.5647,146.855,231.2719,149.135,329.135
2/17/2016 12:00,304.2677,280.616,276.4122,208.7884,146.7992,231.3016,149.1085,329.1085
2/18/2016 0:00,304.7722,281.2873,277.0301,209.0112,146.743,231.331,149.082,329.082
2/18/2016 12:00,305.2767,281.964,277.6481,209.2331,146.6863,231.3599,149.0555,329.0555
2/19/2016 0:00,305.781,282.646,278.2661,209.4541,146.6292,231.3886,149.029,329.029
2/19/2016 12:00,306.2853,283.3333,278.8841,209.6741,146.5716,231.4168,149.0025,329.0025
2/20/2016 0:00,306.7894,284.0258,279.5021,209.8932,146.5137,231.4447,148.9761,328.9761
